,Volume3d (mm^3) ,BaryCenterX (mm) ,BaryCenterY (mm) ,BaryCenterZ (mm) ,Anisotropy,Elongation,Flatness,VoxelFaceArea (mm^2),Sphericity,SurfaceParticles,two_clust_coord
0,91.7529,-1249.26,-1243.58,-1685.28,0.545994,0.731435,0.620706,244.736,0.40197539136884,False,1
1,33.2852,-1241.94,-1257.46,-1686.12,0.946436,0.566783,0.0945057,175.078,0.2858160819930612,False,1
2,26.8576,-1246.98,-1235.86,-1648.17,0.862477,0.343091,0.400835,194.946,0.2224750246521773,False,0
3,20.5755,-1249.24,-1250.28,-1680.69,0.844642,0.736602,0.210912,94.2789,0.3851558951748447,False,1
4,17.9376,-1242.87,-1249.47,-1647.25,0.710594,0.471159,0.614242,71.30980000000001,0.4647054825121112,False,0
5,16.3607,-1242.33,-1241.74,-1672.22,0.683479,0.728257,0.434628,76.6135,0.4067991863382357,False,0
6,15.9622,-1250.49,-1253.48,-1647.87,0.915116,0.533545,0.159094,108.946,0.2814068513850346,False,0
7,14.6602,-1246.1,-1253.38,-1647.34,0.829125,0.580816,0.294198,78.656,0.3682806189592358,False,0
8,13.0533,-1242.26,-1242.44,-1656.54,0.879854,0.469435,0.255937,61.482000000000006,0.4360634476733095,False,0
9,10.3501,-1248.31,-1236.5,-1669.5,0.921533,0.143478,0.546894,83.4276,0.2752986435267016,False,0
10,8.95478,-1253.67,-1245.79,-1653.29,0.576112,0.685689,0.618192,62.5688,0.3332955990527547,False,0
11,8.92676,-1238.8,-1243.5,-1694.4,0.727436,0.507876,0.536674,47.5849,0.4373316103736896,False,1
12,8.88406,-1249.25,-1247.77,-1642.17,0.90244,0.440442,0.221506,59.0388,0.351361569342311,False,0
13,7.93679,-1246.28,-1258.04,-1704.39,0.659225,0.436857,0.780061,45.9963,0.4183352743964916,False,1
14,7.68155,-1243.48,-1237.58,-1700.09,0.653133,0.897681,0.386404,40.8258,0.4611568478410415,False,1
15,7.66186,-1250.74,-1235.09,-1684.7,0.774547,0.504971,0.446467,39.651,0.4740084908499146,False,1
16,7.34728,-1246.31,-1246.13,-1632.26,0.760817,0.410703,0.582374,46.0278,0.3970833108915352,False,0
17,7.21237,-1252.95,-1254.74,-1655.43,0.689416,0.492984,0.630009,41.3316,0.4367711111570128,False,0
18,6.62224,-1242.13,-1246.93,-1640.83,0.634963,0.751623,0.485666,38.3007,0.4452603505483127,False,0
19,6.2947,-1240.84,-1263.09,-1651.64,0.865093,0.776438,0.173751,57.2755,0.2878493544995437,False,0
20,5.89764,-1244.54,-1255.74,-1710.84,0.829724,0.435371,0.391106,44.7756,0.3525560862361693,False,1
21,5.28574,-1239.48,-1240.81,-1690.08,0.581758,0.830677,0.503495,28.5914,0.5132385085502215,False,1
22,4.6317,-1243.95,-1239.1,-1718.04,0.672928,0.458126,0.713935,50.5405,0.2658713485122952,False,1
23,4.54911,-1255.74,-1254.75,-1682.54,0.865695,0.407334,0.329718,40.1747,0.330482987338885,False,1
24,4.41127,-1249.54,-1251.0,-1659.77,0.834226,0.816492,0.203032,27.9851,0.4648002521258877,False,0
25,4.41078,-1250.08,-1242.98,-1692.35,0.704941,0.549064,0.537386,31.9676,0.4068656476613647,False,1
26,4.35457,-1248.8,-1236.92,-1659.93,0.860182,0.373133,0.374713,27.6351,0.4666449835820007,False,0
27,4.29861,-1246.59,-1259.04,-1700.3,0.835986,0.582133,0.281746,33.172,0.3854172640968482,False,1
28,3.96669,-1258.76,-1241.9,-1660.31,0.844622,0.397731,0.390662,25.9561,0.4668709588852074,False,0
29,3.93184,-1245.12,-1251.67,-1720.93,0.762504,0.438761,0.541288,34.0739,0.3535570522738662,False,1
30,3.81267,-1244.52,-1260.98,-1642.87,0.725098,0.320377,0.858059,26.981,0.4374336891127884,False,0
31,3.78774,-1241.94,-1250.38,-1692.12,0.611398,0.448885,0.865705,36.4517,0.3223688802178634,False,1
32,3.77993,-1242.0,-1238.74,-1707.79,0.695506,0.664178,0.458453,23.8532,0.4919564358097297,False,1
33,3.77555,-1253.11,-1258.99,-1656.91,0.850787,0.802736,0.18588,39.2231,0.2989480282644765,False,0
34,3.76338,-1243.94,-1250.42,-1658.96,0.953142,0.418185,0.11205,31.2439,0.3744877366411124,False,0
35,3.69774,-1241.86,-1229.2,-1677.79,0.720305,0.672665,0.415802,22.9474,0.503935421659837,False,1
36,3.67487,-1246.23,-1262.35,-1693.04,0.932558,0.179349,0.376037,41.3001,0.278843810036449,False,1
37,3.59098,-1246.59,-1255.05,-1703.97,0.819148,0.29344,0.616318,22.3637,0.5070869775640545,False,1
38,3.52142,-1243.85,-1236.87,-1679.57,0.517411,0.502822,0.959761,35.533500000000004,0.315010252264907,False,1
39,3.49778,-1242.19,-1251.14,-1719.53,0.771288,0.324183,0.705503,24.7775,0.4497332180323918,False,1
40,3.40947,-1251.24,-1249.27,-1691.72,0.902224,0.318215,0.307265,27.1593,0.4033574980244498,False,1
41,3.29732,-1238.79,-1256.13,-1666.18,0.781935,0.729596,0.298884,38.052,0.2815447073545834,False,0
42,3.27911,-1241.48,-1261.59,-1665.07,0.634087,0.672624,0.544008,19.1506,0.5573641908291039,False,0
43,3.26787,-1243.36,-1252.27,-1720.55,0.425066,0.917335,0.626743,20.7485,0.5132637590282426,False,1
44,3.26179,-1253.06,-1248.07,-1662.94,0.634221,0.593536,0.616271,25.576,0.4158679955944079,False,0
45,3.23848,-1250.91,-1257.56,-1698.6,0.373645,0.707803,0.884929,20.7096,0.5111400290684603,False,1
46,3.10775,-1248.61,-1245.5,-1619.44,0.600972,0.817744,0.487962,22.6143,0.4554055916043598,False,0
47,3.04681,-1242.12,-1229.57,-1674.68,0.675985,0.832288,0.389307,19.794400000000003,0.5134585191240125,False,1
48,3.04644,-1248.35,-1243.2,-1694.98,0.805037,0.399644,0.487841,19.95,0.5094125543465414,False,1
49,2.85953,-1245.95,-1244.73,-1640.33,0.950919,0.251195,0.195391,24.2349,0.4020122903523115,False,0
50,2.75823,-1238.69,-1242.31,-1671.14,0.66257,0.415347,0.812406,21.1349,0.4500259724568295,False,0
51,2.64934,-1248.2,-1239.26,-1711.78,0.829929,0.286229,0.59418,20.0802,0.4611135540128844,False,1
52,2.64497,-1249.4,-1257.0,-1691.77,0.813673,0.312816,0.595645,17.784299999999998,0.5200692574942922,False,1
53,2.4918,-1254.15,-1250.94,-1665.32,0.906991,0.470057,0.197868,20.8671,0.4259554194764313,False,0
54,2.48707,-1257.37,-1244.1,-1659.42,0.895753,0.141648,0.735959,29.3879,0.3020699871146052,False,0
55,2.31349,-1244.69,-1249.22,-1666.95,0.451388,0.598007,0.917401,17.9626,0.4709339605977506,False,0
56,2.3032,-1247.39,-1258.18,-1655.25,0.740077,0.313606,0.82882,24.1969,0.3485610293113944,False,0
57,2.30033,-1236.34,-1231.59,-1683.42,0.524061,0.646476,0.736205,16.339599999999997,0.5157463139860122,False,1
58,2.24076,-1244.88,-1247.05,-1667.86,0.934615,0.466278,0.140227,19.0819,0.4339696965304707,False,0
59,2.23844,-1249.04,-1246.65,-1631.84,0.571488,0.633961,0.675928,23.3276,0.3547407146320271,False,0
60,2.23645,-1242.03,-1259.23,-1663.74,0.662963,0.45169,0.746168,33.905100000000004,0.2439262599721473,False,0
61,2.16739,-1248.55,-1256.57,-1700.94,0.840204,0.221918,0.720067,25.5593,0.3168788202451334,False,1
62,2.15878,-1243.3,-1252.43,-1653.02,0.830955,0.635791,0.265881,23.247,0.3474743886317407,False,0
63,2.15622,-1249.74,-1244.1,-1620.96,0.873171,0.416622,0.304423,23.2798,0.3467104456748365,False,0
64,2.15399,-1237.99,-1243.5,-1703.01,0.629185,0.754557,0.491434,18.9509,0.4256148179691607,False,1
65,2.10846,-1250.47,-1256.48,-1666.34,0.68732,0.597981,0.522894,23.7729,0.3344867138756602,False,0
66,2.09733,-1260.04,-1242.14,-1665.96,0.603934,0.663882,0.596591,15.814000000000002,0.5010567333566444,False,0
67,2.07964,-1243.71,-1244.93,-1637.44,0.741252,0.371061,0.697319,19.7298,0.3993498721249333,False,0
68,2.05733,-1247.83,-1246.52,-1676.76,0.96651,0.27782,0.120545,29.8601,0.2619764016738652,False,1
